Linha;Erro;Conteúdo
220;Colunas incorretas (2 de 1);SÃO PAULO;SÃO PAULO;CENTRO UNIVERSITÁRIO BRAZ CUBAS;BRAZ CUBAS;Centro Universitário;Privada com fins lucrativos ;OFTÁLMICA; OPTOMETRIA E ORTÓPTICA;Óptica E Optometria;EaD;Bacharelado;;;;;;;718;985;1062
568;Colunas incorretas (2 de 1);DISTRITO FEDERAL;BRASÍLIA;INSTITUTO BRASILEIRO DE ENSINO; DESENVOLVIMENTO E PESQUISA DE BRASÍLIA;EDB;Faculdade;Privada com fins lucrativos ;DIREITO;DIREITO;Presencial;Bacharelado;590;696;819;917;1011;1082;1118;1152;1055
692;Colunas incorretas (2 de 1);RONDÔNIA;PORTO VELHO;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;GESTÃO PÚBLICA;Gestão Pública;EaD;Tecnológico;;;;;;;;1103;1052
746;Colunas incorretas (3 de 1);AMAZONAS;MANAUS;CENTRO UNIVERSITÁRIO CEUNI - FAMETRO;FAMETRO;Centro Universitário;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;Presencial;Tecnológico;;183;231;420;503;513;460;471;462
926;Colunas incorretas (2 de 1);PIAUÍ;PARNAÍBA;FACULDADE DE CIÊNCIAS HUMANAS;EXATAS E DA SAÚDE DO PIAUÍ;FAHESP;Faculdade;Privada com fins lucrativos ;MEDICINA;MEDICINA;Presencial;Bacharelado;;;137;218;356;503;718;756;715
1217;Colunas incorretas (3 de 1);DISTRITO FEDERAL;BRASÍLIA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIENCIA E TECNOLOGIA DE BRASILIA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;GESTÃO PÚBLICA;GESTÃO PÚBLICA;Presencial;Tecnológico;164;195;348;448;589;793;865;849;694
1300;Colunas incorretas (3 de 1);PARAÍBA;JOÃO PESSOA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA  DA PARAÍBA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ADMINISTRAÇÃO;ADMINISTRAÇÃO;Presencial;Bacharelado;489;572;716;766;751;688;562;674;693
1392;Colunas incorretas (3 de 1);RIO DE JANEIRO;RIO DE JANEIRO;UNIVERSIDADE ESTÁCIO DE SÁ;ESTÁCIO;Universidade;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;EaD;Tecnológico;;;;;18;202;703;766;593
1460;Colunas incorretas (2 de 1);PARÁ;TUCURUÍ;FACULDADE DE TEOLOGIA; FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL;FATEFIG;Faculdade;Privada com fins lucrativos ;DIREITO;DIREITO;Presencial;Bacharelado;379;597;607;653;662;656;643;597;692
1580;Colunas incorretas (3 de 1);RIO DE JANEIRO;NOVA IGUAÇU;UNIVERSIDADE IGUAÇU;UNIG;Universidade;Privada sem fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;Presencial;Tecnológico;106;114;101;98;102;252;226;306;461
1768;Colunas incorretas (2 de 1);RONDÔNIA;PORTO VELHO;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;GESTÃO COMERCIAL;Gestão Comercial;EaD;Tecnológico;;;;;;;;813;710
1874;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;UNIVERSIDADE ANHEMBI MORUMBI;UAM;Universidade;Privada com fins lucrativos ;COMUNICAÇÃO SOCIAL - RÁDIO; TV E INTERNET;RÁDIO; TV E INTERNET;Presencial;Bacharelado;1393;1369;1683;1592;1800;1675;1708;718;663
1901;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Universidade;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;EaD;Tecnológico;;;;;111;199;331;460;404
1923;Colunas incorretas (3 de 1);GOIÁS;IPORÁ;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA GOIANO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;PEDAGOGIA;PEDAGOGIA EM EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;EaD;Licenciatura;;;;;;289;272;268;251
2028;Colunas incorretas (3 de 1);PERNAMBUCO;RECIFE;CENTRO UNIVERSITÁRIO BRASILEIRO;IBGM/FGM;Centro Universitário;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;Presencial;Tecnológico;;31;193;436;538;542;416;477;477
2032;Colunas incorretas (3 de 1);RIO DE JANEIRO;RIO DE JANEIRO;UNIVERSIDADE CESUMAR;UNICESUMAR;Universidade;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;EaD;Tecnológico;;;;;;17;41;157;360
2062;Colunas incorretas (3 de 1);CEARÁ;MARACANAÚ;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;233;276;318;365;395;443;455;482;497
2176;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;UNIVERSIDADE NOVE DE JULHO;UNINOVE;Universidade;Privada sem fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;Presencial;Tecnológico;;;121;483;776;1147;1215;841;512
2227;Colunas incorretas (2 de 1);PARANÁ;CURITIBA;CENTRO UNIVERSITÁRIO DE ENSINO; CIÊNCIA E TECNOLOGIA DO PARANÁ;FAESP;Centro Universitário;Privada sem fins lucrativos ;PSICOLOGIA;PSICOLOGIA;Presencial;Bacharelado;;;;;22;127;;205;312
2449;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE SÃO PAULO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;Tecnológico;444;428;400;373;355;465;497;477;488
2509;Colunas incorretas (2 de 1);RIO DE JANEIRO;RIO DE JANEIRO;CENTRO UNIVERSITÁRIO BRAZ CUBAS;BRAZ CUBAS;Centro Universitário;Privada com fins lucrativos ;OFTÁLMICA; OPTOMETRIA E ORTÓPTICA;Óptica E Optometria;EaD;Bacharelado;;;;;;;91;272;330
